Addr, hmin0, hmax0, hmed0, mmin0, mmax0, mmed0
0x7ff9b1c022c0, 99, 109, 103, 89, 96, 92
0x7ff9b1c02300, 97, 105, 100, 83, 90, 87
0x7ff9b1c02340, 87, 102, 91, 81, 87, 85
0x7ff9b1c02380, 97, 105, 99, 89, 96, 93
0x7ff9b1c023c0, 98, 109, 102, 87, 95, 91
0x7ff9b1c02400, 89, 97, 92, 83, 91, 85
0x7ff9b1c02440, 97, 105, 101, 85, 91, 87
0x7ff9b1c02480, 99, 111, 103, 89, 97, 92
0x7ff9b1c024c0, 99, 107, 103, 93, 107, 96
0x7ff9b1c02500, 89, 101, 94, 86, 93, 89
0x7ff9b1c02540, 103, 116, 107, 89, 95, 93
0x7ff9b1c02580, 104, 111, 108, 93, 103, 96
0x7ff9b1c025c0, 99, 109, 103, 93, 99, 95
0x7ff9b1c02600, 91, 100, 95, 85, 93, 89
0x7ff9b1c02640, 102, 115, 107, 89, 107, 92
0x7ff9b1c02680, 103, 115, 107, 91, 101, 95
0x7ff9b1c026c0, 99, 110, 103, 96, 103, 99
0x7ff9b1c02700, 92, 101, 95, 86, 93, 89
0x7ff9b1c02740, 99, 107, 103, 85, 98, 89
0x7ff9b1c02780, 101, 113, 106, 93, 99, 96
0x7ff9b1c027c0, 101, 111, 105, 93, 103, 99
0x7ff9b1c02800, 99, 108, 103, 93, 99, 96
0x7ff9b1c02840, 102, 113, 107, 93, 101, 97
0x7ff9b1c02880, 103, 112, 107, 89, 97, 93
0x7ff9b1c028c0, 93, 100, 97, 87, 95, 91
0x7ff9b1c02900, 102, 188, 105, 95, 103, 99
0x7ff9b1c02940, 104, 114, 108, 92, 100, 96
0x7ff9b1c02980, 103, 110, 106, 88, 95, 91
0x7ff9b1c029c0, 92, 101, 96, 86, 93, 89
0x7ff9b1c02a00, 102, 110, 105, 96, 103, 99
0x7ff9b1c02a40, 106, 121, 109, 91, 101, 97
0x7ff9b1c02a80, 99, 107, 103, 87, 101, 89
0x7ff9b1c02ac0, 91, 103, 95, 87, 95, 90
0x7ff9b1c02b00, 102, 113, 105, 95, 103, 99
0x7ff9b1c02b40, 104, 192, 108, 92, 101, 96
0x7ff9b1c02b80, 102, 109, 105, 88, 95, 91
0x7ff9b1c02bc0, 91, 99, 95, 86, 93, 89
