Addr, hmin0, hmax0, hmed0, mmin0, mmax0, mmed0
0x7f323a6061c0, 91, 99, 95, 79, 91, 83
0x7f323a606200, 95, 101, 98, 83, 91, 87
0x7f323a606240, 91, 105, 95, 85, 92, 89
0x7f323a606280, 83, 91, 87, 79, 90, 81
0x7f323a6062c0, 92, 100, 95, 81, 87, 83
0x7f323a606300, 94, 107, 97, 83, 89, 87
0x7f323a606340, 92, 99, 95, 85, 99, 89
0x7f323a606380, 83, 91, 87, 77, 84, 81
0x7f323a6063c0, 91, 105, 95, 79, 86, 83
0x7f323a606400, 91, 99, 95, 85, 93, 89
0x7f323a606440, 95, 109, 98, 85, 91, 87
0x7f323a606480, 93, 100, 95, 81, 87, 83
0x7f323a6064c0, 85, 91, 87, 79, 85, 81
0x7f323a606500, 92, 105, 95, 85, 255, 89
0x7f323a606540, 93, 109, 99, 83, 89, 87
0x7f323a606580, 93, 101, 97, 79, 93, 83
0x7f323a6065c0, 83, 90, 87, 77, 83, 81
0x7f323a606600, 92, 105, 95, 85, 91, 89
0x7f323a606640, 95, 103, 99, 85, 97, 87
0x7f323a606680, 93, 99, 96, 81, 87, 83
0x7f323a6066c0, 83, 97, 87, 77, 85, 81
0x7f323a606700, 92, 100, 95, 85, 98, 89
0x7f323a606740, 93, 102, 97, 83, 90, 87
0x7f323a606780, 91, 106, 95, 79, 86, 83
0x7f323a6067c0, 83, 91, 87, 77, 89, 81
0x7f323a606800, 83, 91, 87, 79, 85, 81
0x7f323a606840, 93, 106, 97, 81, 87, 83
0x7f323a606880, 95, 103, 99, 85, 91, 87
0x7f323a6068c0, 91, 99, 95, 85, 92, 89
0x7f323a606900, 83, 96, 87, 77, 83, 81
0x7f323a606940, 91, 100, 95, 79, 85, 83
0x7f323a606980, 93, 109, 97, 83, 90, 87
0x7f323a6069c0, 91, 106, 95, 85, 92, 89
0x7f323a606a00, 83, 92, 87, 79, 85, 81
0x7f323a606a40, 93, 107, 95, 79, 87, 83
0x7f323a606a80, 95, 109, 99, 85, 91, 87
0x7f323a606ac0, 91, 100, 95, 85, 92, 89
0x7f323a606b00, 83, 98, 85, 77, 83, 81
