 clflush hit min, clflush miss min, clflush hit median, clflush miss median, clflush hit max, clflush miss max
 93, 81, 98, 85, 104, 88
 85, 79, 89, 83, 95, 87
 93, 87, 98, 91, 105, 95
 95, 85, 99, 89, 105, 92
 95, 83, 99, 87, 105, 91
 85, 81, 90, 85, 97, 87
 93, 87, 97, 91, 105, 95
 95, 87, 101, 90, 108, 94
 95, 85, 99, 89, 107, 93
 93, 89, 99, 92, 103, 95
 85, 79, 89, 83, 97, 86
 93, 81, 97, 85, 107, 89
 95, 85, 100, 89, 109, 93
 93, 87, 98, 91, 105, 95
 85, 81, 89, 85, 101, 87
 93, 83, 98, 86, 105, 95
 95, 85, 100, 89, 108, 93
 93, 89, 98, 92, 104, 95
 85, 79, 89, 83, 101, 93
 93, 81, 97, 85, 106, 88
 97, 85, 101, 90, 109, 101
 93, 89, 104, 92, 115, 95
 85, 81, 89, 85, 101, 88
 93, 83, 99, 87, 105, 97
 93, 87, 97, 91, 104, 95
 95, 85, 101, 89, 111, 101
 93, 81, 98, 85, 109, 89
 85, 79, 89, 83, 103, 93
 93, 88, 98, 91, 103, 95
 95, 87, 101, 90, 113, 93
 95, 83, 99, 87, 120, 89
 85, 81, 90, 85, 97, 109
 93, 87, 98, 91, 105, 101
 94, 85, 100, 89, 259, 92
 93, 81, 97, 85, 104, 91
 85, 79, 89, 83, 99, 87
 94, 87, 99, 91, 105, 95
 95, 86, 101, 91, 109, 93
 95, 81, 99, 86, 107, 101
 85, 81, 90, 85, 97, 87
 95, 83, 99, 85, 107, 89
 85, 81, 89, 85, 97, 88
 93, 87, 97, 91, 102, 95
 95, 87, 101, 90, 108, 93
 93, 81, 98, 86, 107, 105
 85, 79, 89, 83, 97, 87
 93, 87, 99, 91, 102, 95
 95, 85, 101, 89, 107, 93
 95, 81, 99, 86, 138, 89
 85, 79, 90, 83, 99, 89
 93, 87, 98, 91, 104, 95
 95, 86, 101, 90, 107, 93
 93, 81, 97, 85, 104, 96
 85, 79, 89, 83, 97, 87
 93, 88, 98, 91, 109, 95
 95, 85, 100, 89, 110, 92
 85, 79, 89, 85, 99, 89
 95, 83, 99, 86, 103, 89
 95, 85, 100, 91, 108, 93
 93, 89, 98, 92, 107, 95
 85, 79, 89, 83, 94, 87
 93, 81, 98, 85, 103, 89
 95, 85, 99, 89, 263, 93
 93, 88, 98, 91, 105, 95
 85, 81, 89, 85, 96, 99
 95, 83, 99, 86, 110, 89
 95, 87, 101, 90, 109, 93
 93, 87, 97, 93, 105, 97
 83, 79, 88, 83, 97, 87
 93, 81, 97, 85, 105, 89
 95, 85, 100, 89, 112, 94
 93, 87, 97, 92, 107, 95
 93, 87, 99, 91, 105, 95
 95, 87, 101, 90, 107, 94
 94, 83, 97, 87, 105, 89
 85, 81, 90, 85, 97, 87
 93, 87, 98, 91, 101, 95
 94, 85, 99, 89, 109, 92
 93, 81, 97, 85, 103, 89
 85, 79, 89, 83, 95, 87
 93, 89, 98, 91, 104, 95
 95, 87, 101, 91, 107, 93
 94, 83, 99, 87, 142, 89
 85, 79, 91, 83, 99, 87
 93, 87, 98, 91, 127, 95
 95, 85, 101, 89, 106, 92
 93, 81, 97, 85, 115, 89
 85, 79, 89, 83, 97, 87
 95, 87, 100, 91, 107, 99
 93, 89, 98, 92, 106, 95
 85, 81, 90, 85, 99, 87
 94, 83, 99, 86, 105, 89
 95, 85, 99, 89, 108, 93
 93, 89, 97, 92, 108, 95
 83, 79, 89, 83, 97, 87
 93, 81, 97, 85, 105, 97
 96, 87, 101, 90, 107, 93
 93, 89, 97, 92, 140, 95
 85, 81, 90, 85, 99, 87
 93, 83, 98, 86, 107, 91
 95, 85, 99, 89, 109, 107
 93, 87, 99, 92, 113, 95
 85, 79, 89, 83, 97, 87
 93, 81, 99, 85, 108, 89
 97, 87, 101, 90, 109, 93
 93, 89, 97, 92, 105, 96
 85, 81, 89, 85, 97, 97
 95, 81, 99, 85, 107, 89
 95, 85, 100, 89, 107, 93
 93, 89, 98, 92, 103, 96
 83, 79, 89, 83, 99, 89
 93, 81, 97, 85, 103, 88
 95, 85, 101, 89, 108, 93
 93, 87, 97, 92, 105, 95
 85, 79, 89, 83, 97, 88
 93, 83, 99, 86, 108, 90
 95, 85, 100, 89, 107, 91
 93, 89, 97, 92, 109, 100
 83, 79, 89, 83, 95, 87
 93, 81, 98, 85, 104, 89
 93, 88, 98, 91, 107, 95
 95, 87, 101, 90, 107, 99
 93, 81, 97, 85, 105, 89
 85, 81, 90, 84, 99, 87
 93, 88, 99, 91, 103, 103
 95, 85, 99, 89, 109, 93
 93, 81, 98, 85, 103, 89
 83, 79, 88, 83, 97, 87
 93, 87, 98, 91, 106, 95
 95, 87, 101, 90, 109, 93
 93, 81, 99, 86, 106, 89
 85, 81, 90, 85, 97, 88
 93, 88, 97, 91, 105, 95
 95, 85, 100, 89, 108, 92
 93, 81, 98, 85, 110, 89
 85, 79, 88, 83, 97, 92
 85, 81, 89, 85, 97, 87
 93, 83, 99, 86, 105, 89
 97, 85, 101, 90, 106, 101
 93, 87, 99, 92, 107, 95
 85, 79, 89, 83, 97, 87
 93, 81, 97, 85, 105, 89
 95, 85, 99, 89, 107, 100
 93, 89, 97, 92, 124, 95
 85, 81, 91, 85, 99, 87
 93, 83, 99, 86, 107, 89
 96, 87, 101, 90, 109, 93
 93, 87, 97, 91, 108, 95
 83, 79, 89, 83, 95, 87
 93, 81, 97, 85, 107, 97
 95, 85, 100, 89, 108, 92
 93, 87, 98, 91, 105, 95
 95, 83, 99, 86, 105, 89
 85, 79, 90, 85, 95, 87
 93, 87, 98, 91, 104, 95
 96, 87, 101, 90, 107, 93
 93, 81, 97, 85, 107, 89
 85, 79, 89, 83, 95, 87
 93, 89, 97, 91, 103, 95
 95, 85, 101, 96, 115, 144
 95, 81, 99, 85, 106, 91
 85, 79, 90, 84, 95, 87
 93, 87, 97, 91, 107, 95
 95, 87, 101, 90, 108, 94
 93, 81, 97, 85, 109, 89
 85, 79, 89, 83, 101, 87
 93, 87, 97, 91, 105, 95
 95, 85, 100, 89, 107, 92
 93, 87, 97, 91, 130, 95
 95, 85, 100, 89, 111, 93
 93, 81, 99, 85, 108, 88
 85, 79, 89, 83, 97, 93
 93, 87, 97, 91, 105, 96
 97, 87, 101, 90, 113, 93
 93, 81, 98, 85, 113, 88
 85, 81, 91, 85, 97, 88
 93, 89, 97, 91, 105, 95
 95, 85, 100, 89, 105, 91
 93, 81, 97, 85, 107, 89
 85, 77, 89, 83, 97, 86
 93, 87, 99, 91, 110, 103
 97, 85, 102, 91, 174, 102
 95, 81, 99, 87, 114, 397
 85, 81, 91, 85, 109, 95
 95, 85, 101, 89, 110, 95
 93, 87, 99, 92, 109, 95
 85, 79, 89, 83, 99, 87
 93, 81, 98, 85, 104, 95
 95, 87, 100, 90, 107, 94
 93, 87, 98, 93, 109, 107
 85, 81, 97, 91, 271, 172
 102, 85, 107, 126, 115, 498
 95, 87, 103, 245, 401, 498
 93, 89, 99, 200, 484, 490
 85, 81, 90, 229, 389, 493
 93, 81, 99, 238, 464, 492
 95, 85, 101, 206, 362, 496
 93, 89, 99, 267, 494, 498
 85, 79, 91, 85, 122, 95
 93, 83, 99, 86, 107, 89
 93, 81, 97, 85, 115, 88
 85, 79, 89, 83, 99, 87
 93, 88, 97, 91, 105, 101
 95, 85, 99, 89, 108, 93
 95, 83, 99, 86, 113, 89
 85, 79, 89, 85, 96, 87
 93, 87, 97, 91, 107, 101
 95, 87, 101, 91, 106, 93
 93, 81, 97, 85, 105, 96
 83, 79, 89, 83, 99, 86
 93, 89, 98, 91, 105, 97
 95, 85, 101, 89, 113, 91
 93, 83, 98, 86, 105, 89
 85, 79, 89, 85, 97, 87
 93, 87, 98, 91, 111, 103
 95, 87, 100, 90, 108, 93
 85, 79, 89, 83, 95, 87
 93, 81, 97, 85, 108, 89
 95, 85, 100, 89, 106, 102
