 address, hash, clflush hit min, clflush miss min, clflush hit median, clflush miss median, clflush hit max, clflush miss max
 0x7f9a0f802e40, 3, 92, 81, 97, 85, 101, 88
 0x7f9a0f802e80, 0, 95, 85, 99, 89, 103, 91
 0x7f9a0f802ec0, 1, 93, 85, 97, 90, 100, 93
 0x7f9a0f802f00, 6, 83, 77, 87, 81, 91, 91
 0x7f9a0f802f40, 7, 91, 81, 95, 84, 100, 87
 0x7f9a0f802f80, 4, 93, 83, 98, 87, 102, 91
 0x7f9a0f802fc0, 5, 93, 87, 97, 91, 107, 93
 0x7f9a0f803000, 4, 93, 83, 98, 88, 102, 91
 0x7f9a0f803040, 5, 91, 87, 96, 91, 100, 93
 0x7f9a0f803080, 6, 83, 77, 87, 81, 99, 85
 0x7f9a0f8030c0, 7, 91, 79, 97, 83, 100, 87
 0x7f9a0f803100, 0, 95, 85, 99, 89, 103, 93
 0x7f9a0f803140, 1, 93, 86, 97, 91, 107, 94
 0x7f9a0f803180, 2, 83, 79, 89, 83, 98, 86
 0x7f9a0f8031c0, 3, 93, 81, 99, 85, 109, 95
 0x7f9a0f803200, 4, 94, 83, 99, 87, 102, 91
 0x7f9a0f803240, 5, 91, 87, 97, 91, 107, 101
 0x7f9a0f803280, 6, 83, 77, 87, 81, 97, 85
 0x7f9a0f8032c0, 7, 91, 79, 97, 83, 100, 87
 0x7f9a0f803300, 0, 95, 83, 99, 89, 103, 91
 0x7f9a0f803340, 1, 93, 87, 97, 91, 107, 93
 0x7f9a0f803380, 2, 83, 77, 89, 83, 97, 92
 0x7f9a0f8033c0, 3, 93, 81, 98, 85, 102, 89
 0x7f9a0f803400, 5, 91, 87, 97, 91, 101, 93
 0x7f9a0f803440, 4, 93, 83, 99, 87, 111, 91
 0x7f9a0f803480, 7, 91, 79, 97, 83, 100, 93
 0x7f9a0f8034c0, 6, 83, 77, 87, 81, 91, 85
 0x7f9a0f803500, 1, 91, 87, 97, 91, 107, 94
 0x7f9a0f803540, 0, 95, 85, 99, 89, 111, 91
 0x7f9a0f803580, 3, 92, 79, 97, 85, 101, 93
 0x7f9a0f8035c0, 2, 85, 79, 89, 83, 93, 85
 0x7f9a0f803600, 5, 91, 87, 97, 91, 107, 94
 0x7f9a0f803640, 4, 93, 85, 98, 88, 109, 91
 0x7f9a0f803680, 7, 91, 79, 97, 84, 100, 93
 0x7f9a0f8036c0, 6, 83, 79, 87, 81, 91, 85
 0x7f9a0f803700, 1, 91, 85, 97, 91, 109, 93
 0x7f9a0f803740, 0, 95, 85, 99, 89, 103, 99
 0x7f9a0f803780, 3, 93, 81, 97, 85, 101, 89
 0x7f9a0f8037c0, 2, 85, 79, 89, 83, 97, 86
 0x7f9a0f803800, 6, 83, 77, 87, 81, 98, 85
 0x7f9a0f803840, 7, 91, 79, 95, 84, 100, 93
 0x7f9a0f803880, 4, 93, 83, 97, 87, 102, 91
 0x7f9a0f8038c0, 5, 92, 87, 97, 91, 108, 105
 0x7f9a0f803900, 2, 83, 79, 89, 83, 99, 86
 0x7f9a0f803940, 3, 93, 81, 103, 85, 109, 95
 0x7f9a0f803980, 0, 95, 85, 100, 89, 104, 91
 0x7f9a0f8039c0, 1, 93, 85, 97, 90, 107, 93
 0x7f9a0f803a00, 6, 83, 77, 88, 81, 97, 85
 0x7f9a0f803a40, 7, 91, 79, 97, 84, 101, 93
 0x7f9a0f803a80, 4, 94, 83, 99, 87, 102, 91
 0x7f9a0f803ac0, 5, 93, 87, 97, 91, 107, 94
 0x7f9a0f803b00, 2, 83, 79, 89, 83, 99, 91
 0x7f9a0f803b40, 3, 92, 81, 97, 85, 101, 91
 0x7f9a0f803b80, 0, 94, 85, 99, 89, 111, 93
 0x7f9a0f803bc0, 1, 92, 87, 97, 91, 106, 93
 0x7f9a0f803c00, 7, 91, 81, 96, 85, 100, 87
 0x7f9a0f803c40, 6, 83, 77, 87, 81, 91, 85
 0x7f9a0f803c80, 5, 91, 87, 97, 91, 107, 94
 0x7f9a0f803cc0, 4, 93, 85, 99, 87, 102, 91
 0x7f9a0f803d00, 3, 92, 79, 97, 87, 101, 148
 0x7f9a0f803d40, 2, 85, 79, 89, 83, 92, 86
 0x7f9a0f803d80, 1, 91, 87, 97, 91, 108, 94
 0x7f9a0f803dc0, 0, 95, 85, 99, 89, 111, 121
 0x7f9a0f803e00, 7, 91, 81, 95, 84, 100, 93
 0x7f9a0f803e40, 6, 83, 77, 87, 81, 91, 85
 0x7f9a0f803e80, 5, 92, 87, 97, 91, 107, 94
 0x7f9a0f803ec0, 4, 93, 83, 99, 88, 110, 91
 0x7f9a0f803f00, 3, 91, 81, 97, 85, 101, 95
 0x7f9a0f803f40, 2, 85, 79, 89, 83, 92, 85
 0x7f9a0f803f80, 1, 91, 87, 97, 91, 107, 94
 0x7f9a0f803fc0, 0, 95, 85, 100, 89, 111, 91
 0x7f9a0f804000, 6, 83, 79, 87, 81, 91, 91
 0x7f9a0f804040, 7, 91, 79, 97, 83, 101, 87
 0x7f9a0f804080, 4, 93, 85, 99, 87, 111, 91
 0x7f9a0f8040c0, 5, 91, 87, 96, 91, 100, 101
 0x7f9a0f804100, 2, 83, 79, 89, 83, 98, 86
 0x7f9a0f804140, 3, 93, 81, 97, 85, 100, 88
 0x7f9a0f804180, 0, 95, 85, 99, 89, 111, 91
 0x7f9a0f8041c0, 1, 92, 87, 97, 91, 100, 100
 0x7f9a0f804200, 6, 83, 77, 87, 81, 91, 86
 0x7f9a0f804240, 7, 91, 79, 96, 83, 108, 87
 0x7f9a0f804280, 4, 93, 83, 98, 87, 110, 91
 0x7f9a0f8042c0, 5, 92, 87, 97, 91, 107, 101
 0x7f9a0f804300, 2, 83, 79, 87, 83, 91, 86
 0x7f9a0f804340, 3, 93, 81, 97, 85, 108, 88
 0x7f9a0f804380, 0, 95, 85, 99, 89, 111, 91
 0x7f9a0f8043c0, 1, 93, 86, 97, 91, 107, 100
 0x7f9a0f804400, 7, 91, 79, 96, 83, 100, 87
 0x7f9a0f804440, 6, 83, 77, 87, 81, 97, 85
 0x7f9a0f804480, 5, 91, 87, 97, 91, 107, 94
 0x7f9a0f8044c0, 4, 93, 83, 99, 89, 102, 97
 0x7f9a0f804500, 3, 93, 81, 97, 85, 101, 89
 0x7f9a0f804540, 2, 85, 79, 89, 83, 97, 87
 0x7f9a0f804580, 1, 91, 87, 96, 91, 100, 101
 0x7f9a0f8045c0, 0, 95, 83, 99, 89, 103, 91
 0x7f9a0f804600, 7, 92, 79, 97, 85, 100, 87
 0x7f9a0f804640, 6, 83, 77, 87, 81, 97, 85
 0x7f9a0f804680, 5, 91, 87, 97, 91, 107, 95
 0x7f9a0f8046c0, 4, 93, 83, 97, 87, 102, 91
 0x7f9a0f804700, 3, 93, 79, 97, 85, 109, 89
 0x7f9a0f804740, 2, 83, 79, 88, 83, 99, 86
 0x7f9a0f804780, 1, 91, 87, 97, 91, 100, 99
 0x7f9a0f8047c0, 0, 95, 85, 99, 89, 103, 99
 0x7f9a0f804800, 4, 94, 85, 99, 87, 109, 91
 0x7f9a0f804840, 5, 93, 87, 97, 91, 107, 94
 0x7f9a0f804880, 6, 83, 77, 88, 88, 98, 91
 0x7f9a0f8048c0, 7, 91, 81, 97, 85, 108, 94
 0x7f9a0f804900, 0, 95, 85, 100, 89, 111, 91
 0x7f9a0f804940, 1, 93, 87, 104, 91, 109, 94
 0x7f9a0f804980, 2, 83, 77, 89, 83, 99, 91
 0x7f9a0f8049c0, 3, 93, 81, 97, 85, 102, 88
 0x7f9a0f804a00, 4, 94, 83, 99, 88, 109, 91
 0x7f9a0f804a40, 5, 93, 87, 97, 91, 107, 93
 0x7f9a0f804a80, 6, 83, 77, 87, 81, 91, 91
 0x7f9a0f804ac0, 7, 91, 79, 96, 84, 100, 87
 0x7f9a0f804b00, 0, 95, 85, 100, 89, 110, 91
 0x7f9a0f804b40, 1, 92, 87, 97, 91, 107, 94
 0x7f9a0f804b80, 2, 83, 77, 87, 83, 92, 86
 0x7f9a0f804bc0, 3, 93, 81, 97, 85, 101, 88
 0x7f9a0f804c00, 5, 91, 87, 97, 91, 107, 94
 0x7f9a0f804c40, 4, 93, 83, 99, 87, 102, 91
 0x7f9a0f804c80, 7, 91, 79, 95, 83, 100, 87
 0x7f9a0f804cc0, 6, 83, 79, 88, 81, 97, 85
 0x7f9a0f804d00, 1, 91, 87, 97, 91, 101, 93
 0x7f9a0f804d40, 0, 95, 85, 99, 89, 103, 93
 0x7f9a0f804d80, 3, 93, 81, 97, 85, 101, 89
 0x7f9a0f804dc0, 2, 83, 79, 89, 83, 93, 87
 0x7f9a0f804e00, 5, 92, 85, 97, 91, 100, 94
 0x7f9a0f804e40, 4, 93, 85, 98, 87, 102, 91
 0x7f9a0f804e80, 7, 91, 79, 97, 84, 107, 88
 0x7f9a0f804ec0, 6, 83, 79, 87, 81, 91, 85
 0x7f9a0f804f00, 1, 91, 87, 97, 91, 101, 93
 0x7f9a0f804f40, 0, 95, 85, 99, 89, 103, 91
 0x7f9a0f804f80, 3, 91, 79, 97, 85, 109, 89
 0x7f9a0f804fc0, 2, 83, 79, 88, 83, 92, 92
 0x7f9a0f805000, 3, 92, 81, 97, 85, 101, 89
 0x7f9a0f805040, 2, 85, 79, 89, 83, 91, 87
 0x7f9a0f805080, 1, 91, 87, 96, 91, 100, 94
 0x7f9a0f8050c0, 0, 95, 85, 99, 89, 103, 99
 0x7f9a0f805100, 7, 91, 79, 96, 83, 107, 87
 0x7f9a0f805140, 6, 83, 79, 87, 81, 96, 85
 0x7f9a0f805180, 5, 91, 86, 97, 91, 100, 101
 0x7f9a0f8051c0, 4, 93, 83, 98, 87, 102, 91
 0x7f9a0f805200, 3, 93, 81, 97, 85, 101, 88
 0x7f9a0f805240, 2, 85, 79, 89, 83, 99, 87
 0x7f9a0f805280, 1, 91, 87, 97, 91, 100, 101
 0x7f9a0f8052c0, 0, 95, 85, 99, 89, 103, 91
 0x7f9a0f805300, 7, 93, 79, 97, 83, 107, 87
 0x7f9a0f805340, 6, 83, 77, 87, 81, 97, 85
 0x7f9a0f805380, 5, 91, 87, 97, 91, 100, 101
 0x7f9a0f8053c0, 4, 93, 83, 99, 87, 102, 99
 0x7f9a0f805400, 2, 83, 79, 89, 83, 98, 87
 0x7f9a0f805440, 3, 93, 81, 98, 85, 102, 88
 0x7f9a0f805480, 0, 95, 85, 100, 89, 104, 91
 0x7f9a0f8054c0, 1, 91, 87, 95, 91, 99, 93
 0x7f9a0f805500, 6, 83, 77, 87, 81, 97, 85
 0x7f9a0f805540, 7, 91, 79, 96, 85, 101, 93
 0x7f9a0f805580, 4, 95, 83, 99, 87, 102, 91
 0x7f9a0f8055c0, 5, 91, 87, 96, 91, 100, 93
 0x7f9a0f805600, 2, 83, 79, 89, 83, 93, 87
 0x7f9a0f805640, 3, 93, 81, 97, 85, 100, 89
 0x7f9a0f805680, 0, 95, 85, 99, 89, 103, 91
 0x7f9a0f8056c0, 1, 92, 87, 96, 91, 107, 93
 0x7f9a0f805700, 6, 83, 77, 87, 81, 91, 91
 0x7f9a0f805740, 7, 92, 81, 96, 84, 100, 87
 0x7f9a0f805780, 4, 94, 85, 104, 88, 118, 91
 0x7f9a0f8057c0, 5, 93, 87, 97, 91, 109, 94
 0x7f9a0f805800, 1, 91, 87, 97, 91, 100, 101
 0x7f9a0f805840, 0, 95, 85, 99, 89, 103, 91
 0x7f9a0f805880, 3, 92, 81, 97, 85, 108, 89
 0x7f9a0f8058c0, 2, 85, 79, 89, 83, 98, 86
 0x7f9a0f805900, 5, 91, 87, 97, 91, 100, 102
